id,tenant_id,code,name,is_paid,max_days_per_year,min_apply_hours,need_approval,is_system,is_active,sort_no,created_at,created_by,updated_at,updated_by
NX07LVTP0000001,{{TENANT_ID}},ANNUAL,特別休假,TRUE,,0.5,TRUE,TRUE,TRUE,1,NOW(),NX01USER0000001,NOW(),NX01USER0000001
NX07LVTP0000002,{{TENANT_ID}},SICK,普通傷病假,TRUE,30.0,0.5,TRUE,TRUE,TRUE,2,NOW(),NX01USER0000001,NOW(),NX01USER0000001
NX07LVTP0000003,{{TENANT_ID}},PERSONAL,事假,FALSE,14.0,0.5,TRUE,TRUE,TRUE,3,NOW(),NX01USER0000001,NOW(),NX01USER0000001
NX07LVTP0000004,{{TENANT_ID}},MARRIAGE,婚假,TRUE,8.0,1.0,TRUE,TRUE,TRUE,4,NOW(),NX01USER0000001,NOW(),NX01USER0000001
NX07LVTP0000005,{{TENANT_ID}},FUNERAL,喪假,TRUE,,1.0,TRUE,TRUE,TRUE,5,NOW(),NX01USER0000001,NOW(),NX01USER0000001
NX07LVTP0000006,{{TENANT_ID}},PUBLIC,公假,TRUE,,0.5,TRUE,TRUE,TRUE,6,NOW(),NX01USER0000001,NOW(),NX01USER0000001
