id,tenant_id,code,name,name_en,flow_mode,min_plan,is_system,created_at,created_by,updated_at,updated_by
NX01WHTP0000001,{{TENANT_ID}},H,總倉,HQ Centralized,C,PLUS,TRUE,NOW(),NX01USER0000001,NOW(),NX01USER0000001
NX01WHTP0000002,{{TENANT_ID}},M,主倉,Main Warehouse,D,PLUS,TRUE,NOW(),NX01USER0000001,NOW(),NX01USER0000001
NX01WHTP0000003,{{TENANT_ID}},W,分倉,Branch Warehouse,D,PLUS,TRUE,NOW(),NX01USER0000001,NOW(),NX01USER0000001
NX01WHTP0000004,{{TENANT_ID}},S,衛星倉,Satellite,D,PLUS,TRUE,NOW(),NX01USER0000001,NOW(),NX01USER0000001
