id,tenant_id,code,name,name_en,is_active,created_at,created_by,updated_at,updated_by
NX01COUN0000001,{{TENANT_ID}},TW,台灣,Taiwan,TRUE,NOW(),NX01USER0000001,NOW(),NX01USER0000001
NX01COUN0000002,{{TENANT_ID}},CN,中國,China,TRUE,NOW(),NX01USER0000001,NOW(),NX01USER0000001
NX01COUN0000003,{{TENANT_ID}},JP,日本,Japan,TRUE,NOW(),NX01USER0000001,NOW(),NX01USER0000001
NX01COUN0000004,{{TENANT_ID}},US,美國,United States,TRUE,NOW(),NX01USER0000001,NOW(),NX01USER0000001
NX01COUN0000005,{{TENANT_ID}},DE,德國,Germany,TRUE,NOW(),NX01USER0000001,NOW(),NX01USER0000001
NX01COUN0000006,{{TENANT_ID}},GB,英國,United Kingdom,TRUE,NOW(),NX01USER0000001,NOW(),NX01USER0000001
