id,tenant_id,code,name,min_plan,is_system,created_at,created_by,updated_at,updated_by
NX01ROLE0000001,{{TENANT_ID}},SYSADMIN,系統管理員,LITE,TRUE,NOW(),NX01USER0000001,NOW(),NX01USER0000001
NX01ROLE0000002,{{TENANT_ID}},OWNER,負責人,LITE,TRUE,NOW(),NX01USER0000001,NOW(),NX01USER0000001
NX01ROLE0000003,{{TENANT_ID}},HR,人資,LITE,TRUE,NOW(),NX01USER0000001,NOW(),NX01USER0000001
NX01ROLE0000004,{{TENANT_ID}},SALES,業務,LITE,TRUE,NOW(),NX01USER0000001,NOW(),NX01USER0000001
NX01ROLE0000005,{{TENANT_ID}},PURCHASING,採購,LITE,TRUE,NOW(),NX01USER0000001,NOW(),NX01USER0000001
NX01ROLE0000006,{{TENANT_ID}},WAREHOUSE,倉管,LITE,TRUE,NOW(),NX01USER0000001,NOW(),NX01USER0000001
NX01ROLE0000007,{{TENANT_ID}},FINANCE,財務,LITE,TRUE,NOW(),NX01USER0000001,NOW(),NX01USER0000001
